DEPARTAMENTO,ÁREA,SEXO,Total personas de 5 y más años,,,,Uso de computador por tipo de dispositivo,,,,,,,,,,,,,,,Usó computador** en cualquier lugar,,,,,Usó Internet en cualquier lugar y desde cualquier dispositivo,,,,,Usó teléfono celular en cualquier lugar,,,,,Escuchó la señal de radio dentro del hogar,,,,,Usó telefono celular y no tiene celular,,,,,Tiene teléfono celular,,,,,Tenencia de teléfono celular por tipo de dispositivo,,,,,,,,,,,,,
,,,,,,,Usó computador de escritorio en cualquier lugar,,,,,Usó computador portátil en cualquier lugar,,,,,Usó tableta en cualquier lugar,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Tiene teléfono celular convencional,,,,,Tiene teléfono celular inteligente (smartphone),,,,,Tiene teléfono celular convencional e inteligente (smartphone),,,
,,,TOTAL,IC+- b/,Cve c/,,TOTAL,IC+-,Cve,Proporción,,TOTAL,IC+-,Cve,Proporción,,TOTAL,IC+-,Cve,Proporción,,TOTAL,IC+-,Cve,Proporción,,TOTAL,IC+-,Cve,Proporción,,TOTAL,IC+-,Cve,Proporción,,TOTAL,IC+-,Cve,Proporción,,TOTAL,IC+-,Cve,Proporción,,TOTAL,IC+-,Cve,Proporción,,TOTAL,IC+-,Cve,Proporción,,TOTAL,IC+-,Cve,Proporción,,TOTAL,IC+-,Cve,Proporción
",,HOMBRE,39 ,1,""0,9%"",,7,1,""7,7%"",""19,0"",,8,1,""7,1%"",""20,4"",,2,1,""14,2%"",""4,8"",,11,1,""5,8%"",""29,0"",,16,1,""4,5%"",""41,3"",,23,1,""2,8%"",""60,0"",,19,1,""3,9%"",""49,6"",,5 ,""1,3"",""13,2%"",""12,5"",,19,1,""3,5%"",""47,5"",,2,0,""10,8%"",""5,7"",,16,1,""4,3%"",""41,9"",,0,0,""87,2%"",""0,1"""
",,MUJER,37 ,1,""0,9%"",,7,1,""8,0%"",""19,0"",,6,1,""7,7%"",""16,8"",,2,1,""17,2%"",""4,9"",,9,1,""6,0%"",""25,4"",,14,1,""4,4%"",""37,2"",,22,1,""2,7%"",""58,3"",,19,1,""3,8%"",""51,2"",,6 ,""1,1"",""9,7%"",""16,1"",,16,1,""3,6%"",""42,2"",,2,0,""10,9%"",""5,5"",,14,1,""4,1%"",""36,8"",,0,0,""70,5%"",""0,0"""
",CABECERA,TOTAL,40 ,0,""0,6%"",,11,1,""6,3%"",""27,5"",,9,1,""7,2%"",""22,6"",,3,1,""12,2%"",""7,3"",,14,1,""5,1%"",""35,6"",,20,2,""3,9%"",""49,6"",,30,1,""1,8%"",""75,3"",,27,2,""3,1%"",""67,7"",,5 ,""1,1"",""11,7%"",""11,6"",,25,1,""2,3%"",""63,7"",,4,1,""9,9%"",""9,4"",,22,1,""3,2%"",""54,4"",,0,0,""75,3%"",""0,1"""
",,HOMBRE,20 ,0,""1,1%"",,6,1,""7,6%"",""28,7"",,5,1,""7,9%"",""23,6"",,1,0,""15,5%"",""7,3"",,7,1,""6,4%"",""37,0"",,10,1,""4,8%"",""50,9"",,15,1,""2,0%"",""74,9"",,13,1,""3,3%"",""66,3"",,2 ,""0,6"",""14,3%"",""10,4"",,13,1,""2,2%"",""64,5"",,2,0,""11,9%"",""9,7"",,11,1,""3,4%"",""55,1"",,0,0,""87,2%"",""0,2"""
",,MUJER,20 ,0,""0,7%"",,5,1,""7,2%"",""26,4"",,4,1,""8,2%"",""21,6"",,1,0,""15,3%"",""7,3"",,7,1,""5,4%"",""34,3"",,10,1,""4,2%"",""48,262"",,15,1,""2,1%"",""75,7"",,14,1,""3,5%"",""69,1"",,3 ,""0,6"",""12,8%"",""12,7"",,13,1,""2,8%"",""62,9"",,2,0,""11,1%"",""9,2"",,11,1,""3,5%"",""53,8"",,0,0,""98,8%"",""0,0"""
",CENTROS POBLADOS Y RURAL DISPERSO,TOTAL,36 ,1,""0,9%"",,4,1,""19,0%"",""9,7"",,5,1,""11,3%"",""14,3"",,1,1,""32,9%"",""2,3"",,7,1,""11,1%"",""18,0"",,10,2,""8,8%"",""28,0"",,15,2,""6,3%"",""41,6"",,11,2,""9,2%"",""31,4"",,6 ,""1,9"",""15,8%"",""17,2"",,9,2,""10,4%"",""24,3"",,1,0,""24,2%"",""1,4"",,8,2,""10,8%"",""22,9"",,0,0,""94,6%"",""0,0"""
",,HOMBRE,19 ,1,""1,4%"",,2,1,""21,1%"",""9,0"",,3,1,""13,0%"",""17,0"",,0,0,""32,6%"",""2,3"",,4,1,""11,6%"",""20,6"",,6,1,""9,2%"",""31,3"",,9,1,""7,0%"",""44,6"",,6,1,""10,0%"",""32,2"",,3 ,""1,1"",""20,3%"",""14,7"",,6,1,""10,2%"",""29,9"",,0,0,""24,1%"",""1,6"",,5,1,""11,1%"",""28,2"",,0,0,.,-"
",,MUJER,17 ,1,""1,8%"",,2,1,""22,9%"",""10,5"",,2,1,""16,5%"",""11,3"",,0,0,""58,0%"",""2,2"",,3,1,""16,3%"",""15,1"",,4,1,""10,9%"",""24,4"",,7,1,""7,5%"",""38,2"",,5,1,""10,4%"",""30,5"",,3 ,""1,0"",""14,1%"",""20,0"",,3,1,""14,2%"",""18,2"",,0,0,""44,5%"",""1,2"",,3,1,""14,3%"",""17,0"",,0,0,""94,6%"",""0,0"""
"ANTIOQUIA,TOTAL,TOTAL,6.615 ,35,""0,3%"",,1.133,130,""5,9%"",""17,1"",,1.569,177,""5,8%"",""23,7"",,257,59,""11,8%"",""3,9"",,2.232,195,""4,5%"",""33,7"",,5.350,95,""0,9%"",""80,9"",,6.088,61,""0,5%"",""92,0"",,3.075,148,""2,5%"",""46,5"",,692 ,""60,9"",""4,5%"",""10,5"",,5.396,75,""0,7%"",""81,6"",,415,43,""5,3%"",""6,3"",,4.986,86,""0,9%"",""75,4"",,5,4,""39,7%"",""0,1"""
",,HOMBRE,3.188 ,26,""0,4%"",,569,74,""6,6%"",""17,8"",,756,102,""6,9%"",""23,7"",,118,34,""14,8%"",""3,7"",,1.087,112,""5,2%"",""34,1"",,2.561,65,""1,3%"",""80,3"",,2.912,44,""0,8%"",""91,3"",,1.478,78,""2,7%"",""46,3"",,363 ,""43,3"",""6,1%"",""11,4"",,2.549,55,""1,1%"",""80,0"",,223,30,""6,8%"",""7,0"",,2.331,60,""1,3%"",""73,1"",,5,4,""42,6%"",""0,1"""
